timepoint,rotvelx,rotvely,rotvelz,rotaccx,rotaccy,rotaccz
0,-0.67126167,1.3020757,-1.3854631,136.09473,-189.38262,-80.971487
1,-0.36806409,1.3903931,-1.1811161,91.247411,-142.81743,-72.908334
2,0.40464518,1.5011052,-0.20912058,-5.575116,-45.364659,-45.949833
3,1.2992088,1.2319243,0.66569029,-66.264001,18.798323,5.0279494
4,1.6842879,0.78357071,1.1833166,-45.502523,38.018824,27.416612
5,1.2801227,0.81280136,1.6155591,9.4242,70.612311,-27.737674
6,0.4853632,1.3776931,1.6532749,28.790583,106.75074,-104.16486
7,0.30547792,1.3429115,0.73578496,-2.7055906,44.894899,-36.872885
8,1.5564656,-0.48182168,-0.5728498,-23.668322,-157.42349,253.69673
9,3.7804038,-3.5246409,-0.58149024,38.595898,-369.37939,578.78828
10,5.2234111,-5.504217,1.5427121,157.63919,-410.85595,625.1872
11,4.5052175,-4.7551111,4.5008296,194.54976,-272.19726,327.7796
12,2.2503013,-2.0647519,6.2518557,69.207454,-122.6043,-23.967642
13,0.4711854,0.17774566,6.0626083,-56.464573,-101.27266,-122.53459
14,0.36559761,0.32209264,4.6066517,113.95901,-179.42032,21.68421
15,1.3052527,-1.2364004,2.921937,617.69618,-235.25137,163.07076
16,2.0001546,-2.6309573,2.193894,1012.992,-193.95736,148.57003
17,1.9766265,-2.1840128,3.6432431,743.53606,-71.858031,52.282337
18,1.6016295,0.093466682,7.0472522,-185.629,64.366841,10.932692
19,1.1607842,2.3840694,9.6278109,-1027.8603,145.94684,30.738709
20,0.51008415,2.6977036,8.156352,-980.43413,136.74588,11.944309
21,-0.37760573,0.83278349,2.8322549,-56.231428,56.831363,-75.86675
22,-1.0439791,-1.4021054,-2.0396087,876.81512,-29.793916,-134.09366
23,-1.0904535,-1.8754107,-2.2111934,980.66888,-69.037625,-85.699295
24,-0.83122511,0.01447163,2.0832962,268.54077,-61.156976,-7.7920544
25,-0.9226891,2.8364811,6.5382393,-506.38117,-47.206368,-28.004233
26,-1.4429008,4.2899335,7.2416588,-655.88798,-58.331772,-130.41994
27,-1.8595325,3.1673788,4.0752656,-136.36111,-89.921766,-172.71653
28,-1.9112208,0.50015759,0.10696191,562.12776,-120.20594,-93.921127
29,-1.9334238,-1.2665732,-1.4009952,895.63007,-133.79592,4.6834074
30,-2.1286553,-0.54936351,0.55244448,646.09039,-123.84726,17.4778
31,-2.0946499,1.825771,4.1852981,37.501917,-93.558068,-25.264823
32,-1.4845388,3.5548855,6.438496,-433.86779,-64.731545,-33.874228
33,-0.715049,3.2614881,5.5698643,-399.39829,-64.53214,-0.16208531
34,-0.50606349,1.6332159,2.6485801,58.719307,-92.191108,13.201621
35,-0.92859419,0.31671603,0.32854839,503.40321,-114.24698,-19.684704
36,-1.4059489,0.30491545,0.23254595,566.80024,-102.33905,-65.322574
37,-1.5910102,1.4895963,1.8724414,248.02793,-63.679564,-100.94074
38,-1.731302,3.068909,3.7628162,-164.48878,-26.886025,-139.63772
39,-2.0574862,3.9652797,4.7702307,-367.35978,-8.7810115,-176.51402
40,-2.3171502,3.4233618,4.4763061,-249.30478,-4.5815695,-171.79125
41,-2.2169515,1.8248505,3.1743322,57.886622,-3.3807381,-117.29533
42,-1.9221381,0.58776649,1.8578868,285.84661,-0.5549342,-66.916973
43,-1.7466517,0.73703453,1.6522762,247.84095,4.9870653,-62.9929
44,-1.6736616,1.8364375,2.8080186,-1.1004156,14.166628,-80.063977
45,-1.5532636,2.6909658,4.355894,-230.18899,23.259811,-80.889696
46,-1.4886717,2.7110385,4.9674918,-259.33356,24.155137,-79.014928
47,-1.6496818,2.1703083,4.1936748,-104.20817,15.238013,-99.259833
48,-1.9074795,1.5387762,2.8230895,81.464939,6.1581196,-119.40754
49,-2.0005101,1.1388511,2.0587818,158.76244,6.0385901,-104.8446
50,-1.9434271,1.2185829,2.4146423,98.32416,12.135625,-73.22114
51,-1.9570188,1.7497656,3.3730254,-25.175645,15.770747,-69.457703
52,-2.0372763,2.1808919,3.9614555,-104.03564,14.682221,-87.448497
53,-1.9178477,1.9106661,3.6155368,-83.406853,13.656039,-73.131058
54,-1.5201223,1.0983047,2.624015,-0.80212097,16.614256,-14.440425
55,-1.1216481,0.58276358,1.8316541,56.964062,23.512183,26.544376
56,-0.91655101,0.8262002,1.8473394,38.727365,32.707597,2.4384873
57,-0.7087019,1.2965298,2.5157241,-29.661563,41.886043,-42.362309
58,-0.30598676,1.2069231,3.1811738,-83.758836,47.685724,-32.407142
59,0.036938979,0.60488667,3.3675355,-88.809222,48.288832,27.848011
