T_ms,rotaccx,rotaccy,rotaccz,PAA_R_radsec_2,rotvelx,rotvely,rotvelz,PAV_R_radsec,PLA_X_msec_2,PLA_Y_msec_2,PLA_Z_msec_2,PLA_R_msec_2,PLV_X_msec,PLV_Y_msec,PLV_Z_msec,PLV_R_msec
0,-12.479,37.482,77.074,86.609,-1.422,-3.15,5.569,6.554,-35.309,-13.524,-30.258,48.427,0,0,0,0
0.3125,-16.466,54.328,114.493,127.794,-1.434,-3.123,5.62,6.587,-37.047,-15.301,-29.383,49.699,0,0,0,0
0.625,-20.041,72.507,156.124,173.302,-1.447,-3.091,5.683,6.629,-39.053,-17.413,-28.391,51.326,0,0,0,0
0.9375,-22.512,90.181,198.343,219.042,-1.46,-3.054,5.758,6.679,-41.206,-19.761,-27.352,53.259,0,0,0,0
1.25,-23.403,105.727,237.732,261.233,-1.471,-3.014,5.843,6.737,-43.37,-22.219,-26.342,55.394,0,0,0,0
1.5625,-22.581,118.192,272,297.428,-1.481,-2.972,5.936,6.801,-45.415,-24.663,-25.434,57.599,0,0,0,0
1.875,-20.187,127.277,300.032,326.537,-1.489,-2.929,6.034,6.871,-47.239,-26.985,-24.686,59.742,0,0,0,0
2.1875,-16.511,133.16,321.605,348.474,-1.495,-2.886,6.137,6.944,-48.774,-29.105,-24.14,61.715,0,0,0,0
2.5,-11.919,136.302,337.09,363.799,-1.499,-2.843,6.242,7.021,-49.986,-30.974,-23.816,63.445,0,0,0,0
2.8125,-6.781,137.295,347.194,373.416,-1.501,-2.801,6.35,7.101,-50.876,-32.575,-23.717,64.9,0,0,0,0
3.125,-1.423,136.746,352.79,378.368,-1.501,-2.759,6.46,7.183,-51.467,-33.916,-23.832,66.084,0,0,0,0
3.4375,3.91,135.199,354.79,379.697,-1.5,-2.718,6.569,7.266,-51.796,-35.022,-24.139,67.023,0,0,0,0
3.75,9.046,133.089,354.052,378.348,-1.498,-2.678,6.677,7.349,-51.905,-35.931,-24.611,67.756,0,0,0,0
4.0625,13.854,130.722,351.289,375.078,-1.494,-2.638,6.785,7.432,-51.839,-36.68,-25.215,68.326,0,0,0,0
4.375,18.232,128.282,347.029,370.429,-1.488,-2.599,6.892,7.515,-51.637,-37.302,-25.922,68.774,0,0,0,0
4.6875,22.121,125.867,341.638,364.758,-1.481,-2.559,6.999,7.598,-51.335,-37.828,-26.702,69.132,0,0,0,0
5,25.518,123.521,335.366,358.3,-1.473,-2.521,7.104,7.68,-50.962,-38.278,-27.53,69.427,0,0,0,0
5.3125,28.459,121.263,328.364,351.194,-1.465,-2.483,7.206,7.761,-50.539,-38.668,-28.386,69.679,0,0,0,0
5.625,30.975,119.086,320.689,343.485,-1.456,-2.445,7.306,7.841,-50.085,-39.012,-29.256,69.902,0,0,0,0
5.9375,33.078,116.968,312.319,335.14,-1.446,-2.408,7.406,7.921,-49.615,-39.317,-30.13,70.109,0,0,0,0
6.25,34.782,114.881,303.222,326.115,-1.435,-2.372,7.504,7.999,-49.142,-39.596,-31.003,70.314,0,0,0,0
6.5625,36.12,112.809,293.411,316.418,-1.424,-2.336,7.597,8.075,-48.679,-39.858,-31.875,70.529,0,0,0,0
6.875,37.128,110.735,282.948,306.105,-1.413,-2.302,7.687,8.147,-48.236,-40.112,-32.747,70.767,0,0,0,0
7.1875,37.803,108.638,271.899,295.229,-1.402,-2.268,7.773,8.217,-47.827,-40.363,-33.623,71.043,0,0,0,0
7.5,38.111,106.49,260.311,283.821,-1.389,-2.234,7.857,8.285,-47.47,-40.613,-34.502,71.367,0,0,0,0
7.8125,38.035,104.272,248.245,271.928,-1.376,-2.2,7.938,8.351,-47.179,-40.861,-35.386,71.747,0,0,0,0
8.125,37.62,101.997,235.811,259.664,-1.364,-2.168,8.013,8.412,-46.966,-41.107,-36.271,72.189,0,0,0,0
8.4375,36.952,99.7,223.141,247.179,-1.353,-2.136,8.083,8.47,-46.835,-41.35,-37.152,72.688,0,0,0,0
8.75,36.119,97.417,210.333,234.595,-1.342,-2.106,8.15,8.524,-46.783,-41.589,-38.017,73.236,0,0,0,0
9.0625,35.188,95.176,197.422,221.973,-1.33,-2.075,8.214,8.576,-46.799,-41.825,-38.85,73.816,0,0,0,0
9.375,34.238,93.003,184.429,209.37,-1.318,-2.046,8.276,8.626,-46.864,-42.06,-39.632,74.404,0,0,0,0
9.6875,33.381,90.945,171.421,196.902,-1.308,-2.017,8.332,8.671,-46.952,-42.298,-40.343,74.975,0,0,0,0
10,32.73,89.06,158.507,184.736,-1.3,-1.989,8.382,8.712,-47.035,-42.541,-40.963,75.499,0,0,0,0
10.3125,32.339,87.395,145.772,173.012,-1.291,-1.962,8.428,8.749,-47.092,-42.789,-41.474,75.952,0,0,0,0
